County,ZIP Code,Total Births 2014-2016,Premature Birth Perc,Low Birth Rate Perc,Out of Wedlock Perc,Medicaid or Self-Pay Perc,Late or No Prenatal Care Perc,Infant Deaths 2014-2016 per 1000 Live Births,Infant Deaths Rate per 1000 Live Births,Neonatal Deaths 2014-2016 per 1000 Live Births,Neonatal Dearths Rate per 1000 Live Births,Teen Birth Rate per 1000,Teen Pregnancy Rate per 1000
Chautauqua,14738 ,91 ,8.4 ,7.7 ,25.6 ,42.9 ,2.4 ,0 ,0.0 ,0 ,0.0 ,0.0 ,8.6 
Chautauqua,14740 ,30 ,13.6 ,6.7 ,26.7 ,26.7 ,4.3 ,0 ,0.0 ,0 ,0.0 ,7.9 ,7.9 
Chautauqua,14747 ,64 ,15.5 ,4.7 ,53.1 ,45.3 ,3.3 ,0 ,0.0 ,0 ,0.0 ,29.2 ,33.3 
Chautauqua,14750 ,111 ,7.1 ,3.6 ,37.3 ,38.7 ,3.6 ,0 ,0.0 ,0 ,0.0 ,7.4 ,9.8 
Chautauqua,14757 ,98 ,6.0 ,3.1 ,42.3 ,50.0 ,7.9 ,0 ,0.0 ,0 ,0.0 ,18.9 ,22.0 
Chautauqua,14767 ,92 ,14.1 ,6.5 ,16.5 ,64.1 ,25.6 ,1 ,10.9 ,1 ,10.9 ,17.8 ,17.8 
Chautauqua,14769 ,26 ,16.0 ,7.7 ,38.5 ,61.5 ,7.7 ,0 ,0.0 ,0 ,0.0 ,* ,* 
Chautauqua,14775 ,72 ,13.0 ,19.4 ,48.5 ,54.2 ,5.6 ,0 ,0.0 ,0 ,0.0 ,20.8 ,20.8 
Chautauqua,14781 ,67 ,13.5 ,6.0 ,29.9 ,53.7 ,10.6 ,3 ,44.8 ,2 ,29.9 ,17.8 ,17.8 
Chautauqua,14782 ,80 ,5.1 ,0.0 ,50.0 ,53.2 ,5.1 ,1 ,12.5 ,0 ,0.0 ,42.9 ,42.9 
Chautauqua,14784 ,44 ,15.0 ,9.1 ,52.3 ,56.8 ,7.1 ,0 ,0.0 ,0 ,0.0 ,50.7 ,50.7 
Chautauqua,14787 ,109 ,11.6 ,9.2 ,57.4 ,61.5 ,6.6 ,1 ,9.2 ,1 ,9.2 ,13.3 ,17.8
Chemung,14814 ,59 ,7.0 ,3.4 ,35.6 ,25.4 ,8.5 ,0 ,0.0 ,0 ,0.0 ,5.2 ,10.4 
Chemung,14816 ,16 ,0.0 ,0.0 ,31.3 ,43.8 ,0.0 ,0 ,0.0 ,0 ,0.0 ,* ,* 
